date;valuation;cashIn;cashOut
2017-05-29;380 645,66;0,00;0,00
2017-05-30;380 373,26;0,00;0,00
2017-05-31;379 033,46;0,00;0,00
2017-06-01;380 195,00;0,00;0,00
2017-06-02;379 293,20;0,00;0,00
2017-06-03;380 195,00;0,00;0,00
2017-06-04;380 195,00;0,00;0,00
2017-06-05;380 195,00;0,00;0,00
2017-06-06;379 760,60;0,00;0,00
2017-06-07;380 117,60;0,00;0,00
2017-06-08;379 596,20;0,00;0,00
2017-06-09;381 983,60;0,00;0,00
2017-06-10;382 081,40;0,00;0,00
2017-06-11;382 081,40;0,00;0,00
2017-06-12;382 081,40;0,00;0,00
2017-06-13;382 081,40;0,00;0,00
2017-06-14;381 527,00;0,00;0,00
2017-06-15;382 251,20;0,00;0,00
2017-06-16;384 731,60;0,00;0,00
2017-06-17;386 514,20;0,00;0,00
2017-06-18;386 514,20;0,00;0,00
2017-06-19;386 514,20;0,00;0,00
2017-06-20;387 820,40;0,00;0,00
2017-06-21;391 541,00;0,00;0,00
2017-06-22;400 069,40;0,00;0,00
2017-06-23;400 958,60;0,00;0,00
2017-06-24;398 007,80;0,00;0,00
2017-06-25;398 007,80;0,00;0,00
2017-06-26;398 007,80;0,00;0,00
2017-06-27;394 077,80;0,00;0,00
2017-06-28;393 375,20;0,00;0,00
2017-06-29;397 318,40;0,00;0,00
2017-06-30;394 537,10;0,00;0,00
2017-07-01;396 341,30;0,00;0,00
2017-07-02;396 341,30;0,00;0,00
2017-07-03;396 341,30;0,00;0,00
2017-07-04;393 841,10;0,00;0,00
2017-07-05;395 401,10;0,00;0,00
2017-07-06;397 496,30;0,00;0,00
2017-07-07;401 479,70;0,00;0,00
2017-07-08;402 299,30;0,00;0,00
2017-07-09;402 299,30;0,00;0,00
2017-07-10;402 299,30;0,00;0,00
2017-07-11;401 832,50;0,00;0,00
2017-07-12;404 462,30;0,00;0,00
2017-07-13;403 760,30;0,00;0,00
2017-07-14;401 125,70;0,00;0,00
2017-07-15;399 307,70;0,00;0,00
2017-07-16;399 307,70;0,00;0,00
2017-07-17;399 307,70;0,00;0,00
2017-07-18;394 418,30;0,00;0,00
2017-07-19;396 247,10;0,00;0,00
2017-07-20;395 474,90;0,00;0,00
2017-07-21;394 517,90;0,00;0,00
2017-07-22;393 619,10;0,00;0,00
2017-07-23;393 619,10;0,00;0,00
2017-07-24;393 619,10;0,00;0,00
2017-07-25;397 967,30;0,00;0,00
2017-07-26;398 935,10;0,00;0,00
2017-07-27;399 485,30;0,00;0,00
2017-07-28;396 485,30;0,00;0,00
2017-07-29;397 285,70;0,00;0,00
2017-07-30;397 285,70;0,00;0,00
2017-07-31;397 241,51;0,00;0,00
2017-08-01;400 359,71;0,00;0,00
2017-08-02;399 052,31;0,00;0,00
